invoice_id,project_id,vendor_name,category,invoice_amount_naira,invoice_date,payment_status,notes
INV03959,PRJ00494,Reel Edit Studios,Post-Production,30237832,15-03-2024,disputed,
INV03510,PRJ00430,colourgrade lagos,Post-Production,12076125,2021-02-27,disputed,
INV04255,PRJ01236,Stagehand Talent Agency,Talent,8783438,2023-05-18,PAID,
INV04185,PRJ02020,Naija Locations,Location,18246159,2022-07-14,disputed,
INV02263,PRJ02057,Coastline Property Services,Location,23308573,15-03-2022,Overdue,
INV01594,PRJ03464,OnDeck Production Staffing,Crew,12549555,18/08/2021,Overdue,
INV05714,PRJ03531,Stagehand Talent Agency,Talent,567377,2022-11-24,pending,
INV00687,PRJ01226,OnDeck Production Staffing,Crew,37266071,21/06/2025,PAID,
INV09416,PRJ02137,COLOURGRADE LAGOS,Post-Production,9047726,08/05/2021,Overdue,
INV05567,PRJ02124,stagehand talent agency,Talent,20113271,14-09-2025,Pending,
INV04353,PRJ00525,Naija Locations Ltd,Location,14720560,2021-04-16,OVERDUE,
INV09044,PRJ03758,Lagos Grip & Lighting Co,Equipment Rental,23171763,20-01-2021,disputed,
INV05282,PRJ03351,colourgrade lagos,Post-Production,454441,11 Mar 2021,Pending,
INV00706,PRJ02879,naija locations ltd,Location,7522849,2024-10-18,PAID,
INV08555,PRJ01083,Crew Connect NG,Crew,26716518,02-03-2024,Overdue,
INV04265,PRJ00639,crew connect ng,Crew,13082326,2021-10-02,Pending,
INV05246,PRJ03869,Redline Camera Rentals,Equipment Rental,5425642,02-09-2023,Overdue,
INV00413,PRJ02802,Reel Edit Studios,Post-Production,34002570,02-06-2021,Pending,
INV02587,PRJ00435,Naija Locations Ltd,Location,588246,08/08/2025,paid,
INV06593,PRJ02030,Redline Camera Rentals,Equipment Rental,21895834,11 Apr 2021,OVERDUE,
INV07704,PRJ03759,ColourGrade Lagos,Post-Production,225503,21-06-2025,Paid,
INV08283,PRJ03095,naija faces casting,Talent,4341807,16-08-2025,Pending,
INV05159,PRJ02448,Chop Life Catering,Catering,4887479,2025-03-10,Overdue,
INV08353,PRJ01221,Naija Faces Casting,Talent,27425477,23 Mar 2023,Pd,
INV04490,PRJ00706,Naija Locations Ltd,Location,31953507,20-07-2022,Overdue,
INV01001,PRJ00816,CREW CONNECT NG,Crew,10531282,19/12/2025,disputed,
INV02594,PRJ03897,Crew Connect NG,Crew,22090168,05-08-2024,OVERDUE,
INV01128,PRJ03329,Frame & Focus Equipment,Equipment Rental,19191267,06-08-2023,Overdue,
INV01231,PRJ01746,Urban Set Scouts,Location,6637020,22-09-2022,Paid,
INV05090,PRJ03921,Stagehand Talent Agency,Talent,17710499,01-04-2022,pending,
INV05133,PRJ00836,Coastline Property Services,Location,11295913,2024-10-08,Disputed,
INV02427,PRJ03888,Naija Faces Casting,Talent,3813273,07 Dec 2025,Disputed,
INV06540,PRJ00166,Naija Faces Casting,Talent,3790154,2021-09-04,OVERDUE,
INV04890,PRJ01134,stagehand talent agency,Talent,24765118,17 Jan 2024,Pd,
INV04337,PRJ01325,Frame & Focus Equipment,Equipment Rental,69443933,01/11/2024,Paid,
INV06731,PRJ03908,NAIJA LOCATIONS LTD,Location,"NGN 31,310,125",15 May 2022,Overdue,
INV04076,PRJ03151,SoundWave Post NG,Post-Production,2370089,07/06/2025,Pd,
INV07474,PRJ03564,Urban Set Scouts,Location,11796269,07/03/2024,Pending,
INV00421,PRJ01231,Frame & Focus Equipment,Equipment Rental,49909151,2023-03-27,Disputed,
INV04178,PRJ02257,Redline Camera Rentals,Equipment Rental,18236332,21/11/2025,Pd,
INV01212,PRJ03904,Stagehand Talent Agency,Talent,2598145,07-07-2023,Pd,
INV00770,PRJ03750,OnDeck Production Staffing,Crew,9251232,12-12-2023,Disputed,
INV02792,PRJ01962,Crew Connect NG,Crew,32797300,07-11-2022,Pending,
INV05596,PRJ02236,progear nigeria,Equipment Rental,44193754,05-03-2025,Pd,
INV07761,PRJ01307,OnDeck Production Staffing,Crew,48324648,28 Nov 2023,Pending,
INV08380,PRJ02086,ONDECK PRODUCTION STAFFING,Crew,16955197,15 Aug 2025,Overdue,
INV01199,PRJ00243,Crew Connect NG,Crew,4686529,14-02-2022,disputed,
INV02759,PRJ02744,Mama Bisi Kitchen Services,Catering,13358408,11-07-2022,Paid,
INV02790,PRJ00856,OnSet Meals NG,Catering,22324999,02 Apr 2021,pending,
INV05756,PRJ03137,Lagos Grip & Lighting Co,Equipment Rental,70513965,2021-11-06,Paid,
INV00679,PRJ00141,Chop Life Catering,Catering,12045770,2021-06-01,Paid,
INV00648,PRJ03300,SoundWave Post NG,Post-Production,1613797,17-05-2024,Paid,
INV01505,PRJ03818,Chop Life Catering,Catering,15514208,26 Jan 2023,Paid,
INV08336,PRJ02330,Redline Camera Rentals,Equipment Rental,1162694,2023-08-02,paid,
INV00604,PRJ02216,Stagehand Talent Agency,Talent,8847869,13/07/2023,PAID,
INV07856,PRJ01661,colourgrade lagos,Post-Production,7462362,09 Jul 2025,Disputed,
INV06708,PRJ00661,Reel Edit Studios,Post-Production,31433111,06/07/2025,Overdue,
INV08386,PRJ03132,reel edit studios,Post-Production,14584167,10 May 2023,disputed,
INV02112,PRJ03102,NAIJA LOCATIONS LTD,Location,28055565,11 Aug 2023,Pending,
INV08699,PRJ02874,Naija Faces Casting,Talent,7665459,2021-10-18,Pd,
INV02054,PRJ00496,Reel Edit Studios,Post-Production,72565464,10/02/2025,OVERDUE,
INV07986,PRJ00360,REEL EDIT STUDIOS,Post-Production,39723336,2024-10-07,Pd,
INV07292,PRJ00110,ProGear Nigeria,Equipment Rental,172156,2021-02-26,Pending,
INV07225,PRJ02304,ONSET MEALS NG,Catering,378589,21 Apr 2024,Pending,
INV06193,PRJ01899,OnSet Meals NG,Catering,8143999,01 Apr 2024,disputed,
INV03893,PRJ00621,OnDeck Production Staffing,Crew,2341253,2021-10-21,Pending,
INV04465,PRJ03840,OnSet Meals NG,Catering,5351909,2023-09-06,Overdue,
INV08323,PRJ00873,ProGear Nigeria,Equipment Rental,767931,2024-10-02,paid,
INV04705,PRJ02705,STAGEHAND TALENT AGENCY,Talent,"NGN 60,768,089",2024-11-14,PAID,
INV02597,PRJ01638,Lagos Grip & Lighting Co,Equipment Rental,5751216,2021-04-12,Disputed,
INV06891,PRJ01224,redline camera rentals,Equipment Rental,23123842,2025-09-05,Pending,
INV04111,PRJ00089,Naija Locations Ltd,Location,48237043,15 Apr 2022,paid,
INV04996,PRJ00916,Naija Faces Casting,Talent,30821477,17/10/2023,paid,
INV00876,PRJ02398,OnDeck Production Staffing,Crew,14612774,07/04/2025,paid,
INV02082,PRJ02390,ProGear Nigeria,Equipment Rental,17341682,2022-10-06,Disputed,
INV00025,PRJ01312,naija faces casting,Talent,8094791,18/06/2021,Pending,
INV01477,PRJ01086,Crew Connect NG,Crew,21576940,23-10-2025,OVERDUE,
INV03162,PRJ02998,frame & focus equipment,Equipment Rental,25337817,04/01/2023,OVERDUE,
INV05854,PRJ03491,Mama Bisi Kitchen Services,Catering,31244672,25 Apr 2022,Disputed,
INV03646,PRJ02746,OnDeck Production Staffing,Crew,2347800,26-01-2021,Paid,
INV05081,PRJ02155,STAGEHAND TALENT AGENCY,Talent,3478471,2023-06-07,OVERDUE,
INV08381,PRJ02086,Urban Set Scouts,Location,38604788,04-08-2025,Pd,
INV01205,PRJ01389,Stagehand Talent Agency,Talent,"NGN 17,901,788",01-01-2022,pending,
INV08078,PRJ00173,SoundWave Post NG,Post-Production,24991338,17/12/2022,Pending,
INV04061,PRJ00013,Urban Set Scouts,Location,23624746,20-04-2024,Paid,
INV05522,PRJ03040,Coastline Property Services,Location,37653529,07-05-2023,pending,
INV06295,PRJ01615,naija faces casting,Talent,12869375,2025-04-21,Pending,
INV03958,PRJ00494,STAGEHAND TALENT AGENCY,Talent,5789976,08-05-2022,OVERDUE,
INV08153,PRJ01813,OnDeck Production Staffing,Crew,28189363,16/07/2023,disputed,
INV06333,PRJ02872,Naija Faces Casting,Talent,23682757,23-06-2022,Overdue,
INV02119,PRJ00425,SoundWave Post NG,Post-Production,33709658,20/07/2023,PAID,
INV07504,PRJ02213,ColourGrade Lagos,Post-Production,8410017,22-09-2024,Paid,
INV09058,PRJ01131,Stagehand Talent Agency,Talent,"NGN 1,989,682",13-11-2023,paid,
INV09126,PRJ02360,OnSet Meals NG,Catering,14058902,25-01-2023,Disputed,
INV08675,PRJ00685,OnSet Meals NG,Catering,315632,2025-07-08,Paid,
INV02901,PRJ00309,SoundWave Post NG,Post-Production,1715046,27-03-2023,PAID,
INV07379,PRJ00316,OnSet Meals NG,Catering,6917496,2024-11-24,pending,
INV04246,PRJ02519,ColourGrade Lagos,Post-Production,21263941,09/02/2021,OVERDUE,
INV06088,PRJ02859,Naija Locations,Location,4237364,18 Mar 2024,Overdue,
INV06929,PRJ02096,Mama Bisi Kitchen Services,Catering,14967348,19-06-2024,paid,
INV01478,PRJ01379,Chop Life Catering,Catering,1114218,2023-06-19,Disputed,
INV09284,PRJ00581,Reel Edit Studios,Post-Production,16985659,21/02/2024,pending,
INV05595,PRJ03430,LAGOS GRIP & LIGHTING CO,Equipment Rental,9020016,2025-12-11,Overdue,
INV06494,PRJ00968,Naija Faces Casting,Talent,46883075,17/05/2023,OVERDUE,
INV05296,PRJ01233,Chop Life Catering,Catering,"NGN 13,250,806",06-04-2021,pending,
INV02338,PRJ02620,Lagos Grip & Lighting Co,Equipment Rental,21363304,06 Sep 2024,PAID,
INV00590,PRJ00492,Chop Life Catering,Catering,6893070,25 Oct 2022,Paid,
INV02591,PRJ03897,COASTLINE PROPERTY SERVICES,Location,3507320,19/04/2021,Overdue,
INV08791,PRJ00722,COLOURGRADE LAGOS,Post-Production,44392208,2022-02-03,Disputed,
INV04924,PRJ03200,Naija Locations Ltd,Location,3329560,25 Sep 2022,Disputed,
INV01537,PRJ00512,Urban Set Scouts,Location,"NGN 2,298,844",07 Jul 2022,Overdue,
INV02182,PRJ01581,SoundWave Post NG,Post-Production,5035632,03 Jan 2022,paid,
INV09547,PRJ03247,COLOURGRADE LAGOS,Post-Production,19468437,07/02/2021,OVERDUE,
INV09294,PRJ00995,COASTLINE PROPERTY SERVICES,Location,13292340,2022-10-08,Disputed,
INV09214,PRJ02429,Urban Set Scouts,Location,6073339,2022-07-12,PAID,
INV09626,PRJ00203,Naija Faces Casting,Talent,33739633,2024-06-05,Paid,
INV07008,PRJ01439,OnSet Meals NG,Catering,15880324,20 Nov 2021,OVERDUE,
INV02220,PRJ00549,frame & focus equipment,Equipment Rental,73724532,2025-11-14,Overdue,
INV08509,PRJ03998,soundwave post ng,Post-Production,5214645,22 Apr 2021,Pd,
INV06922,PRJ01348,Crew Connect NG,Crew,"NGN 12,139,195",07-01-2025,Disputed,
INV02617,PRJ02737,OnDeck Production Staffing,Crew,11912797,14-06-2023,Paid,
INV01416,PRJ02202,Crew Connect NG,Crew,13160966,24-07-2021,PAID,
INV07828,PRJ01840,Coastline Property Services,Location,11533636,2025-03-18,disputed,
INV02083,PRJ02390,NAIJA LOCATIONS LTD,Location,12646098,2021-10-04,Overdue,
INV07199,PRJ02800,Urban Set Scouts,Location,14146485,27-01-2022,Pending,
INV05874,PRJ01633,Naija Locations Ltd,Location,43903088,15-05-2023,OVERDUE,
INV00528,PRJ01562,progear nigeria,Equipment Rental,6257201,28/09/2023,Overdue,
INV01557,PRJ00624,crew connect ng,Crew,22525181,19 Mar 2022,Pd,
INV07643,PRJ00861,Crew Connect NG,Crew,1639963,05/07/2022,Overdue,
INV08330,PRJ00756,Crew Connect NG,Crew,31911388,27 Jun 2021,Disputed,
INV06984,PRJ01350,OnDeck Production Staffing,Crew,3612128,2023-12-16,Pending,
INV02572,PRJ00486,lagos grip & lighting co,Equipment Rental,38555787,20-07-2024,Pending,
INV09625,PRJ00203,Stagehand Talent Agency,Talent,9383214,19 Feb 2025,Overdue,
INV01828,PRJ01568,Stagehand Talent Agency,Talent,45206274,15/04/2024,Paid,
INV01727,PRJ02850,Urban Set Scouts,Location,16726110,19 Nov 2025,Paid,
INV07186,PRJ02058,COASTLINE PROPERTY SERVICES,Location,2297114,07-04-2024,Pd,
INV02191,PRJ03723,Coastline Property Services,Location,9059506,11-05-2024,paid,
INV06170,PRJ00456,OnSet Meals NG,Catering,15325869,2024-03-03,Pd,
INV04285,PRJ00477,Chop Life Catering,Catering,19396430,2022-03-18,disputed,
INV04930,PRJ01909,naija faces casting,Talent,16995410,14/12/2021,Disputed,
INV09130,PRJ01046,Frame & Focus Equipment,Equipment Rental,1917391,2023-09-04,OVERDUE,
INV04823,PRJ03241,Mama Bisi Kitchen Services,Catering,4342277,04 Sep 2023,OVERDUE,
INV07514,PRJ00520,ColourGrade Lagos,Post-Production,"NGN 1,954,417",11-07-2022,pending,
INV04846,PRJ03856,ONSET MEALS NG,Catering,7619204,2022-08-25,Disputed,
INV08982,PRJ03250,Urban Set Scouts,Location,4510263,2023-12-03,disputed,
INV07881,PRJ03522,Chop Life Catering,Catering,39080527,2025-03-03,Pending,
INV02541,PRJ01809,Crew Connect NG,Crew,205320,22 Nov 2022,OVERDUE,
INV04177,PRJ02257,Naija Faces Casting,Talent,43990888,07-01-2022,Paid,
INV07162,PRJ01548,OnDeck Production Staffing,Crew,5156557,03-01-2024,paid,
INV00779,PRJ00017,stagehand talent agency,Talent,12904041,2023-12-22,disputed,
INV04350,PRJ01749,SoundWave Post NG,Post-Production,33245570,23 May 2025,Pending,
INV06402,PRJ02497,Naija Locations Ltd,Location,33475527,15-03-2022,Pd,
INV00559,PRJ00045,Stagehand Talent Agency,Talent,13990132,13 Jan 2024,OVERDUE,
INV03137,PRJ02172,Mama Bisi Kitchen Services,Catering,9133294,2021-05-18,Overdue,
INV02739,PRJ02388,PROGEAR NIGERIA,Equipment Rental,3534751,14 Mar 2024,OVERDUE,
INV09680,PRJ02616,Coastline Property Services,Location,5091127,21 Jan 2025,OVERDUE,
INV05224,PRJ01666,Reel Edit Studios,Post-Production,1310295,2023-07-09,Overdue,
INV01634,PRJ01569,Reel Edit Studios,Post-Production,658065,2025-02-09,Overdue,
INV07067,PRJ02467,ondeck production staffing,Crew,48789224,17/08/2025,paid,
INV02599,PRJ01638,OnDeck Production Staffing,Crew,3803464,22 Oct 2025,Pd,
INV03372,PRJ02321,Stagehand Talent Agency,Talent,218257,2024-11-09,Overdue,
INV02683,PRJ02432,ColourGrade Lagos,Post-Production,1049874,04/11/2021,Pd,
INV05764,PRJ03160,FRAME & FOCUS EQUIPMENT,Equipment Rental,26488433,02/03/2021,Paid,
INV03801,PRJ00342,Stagehand Talent Agency,Talent,18339889,27-03-2024,pending,
INV09083,PRJ02132,Naija Faces Casting,Talent,1855539,26 Jul 2024,paid,
INV02582,PRJ02678,OnSet Meals NG,Catering,51135510,2023-02-22,paid,
INV04003,PRJ02537,Crew Connect NG,Crew,5382588,12/08/2023,Disputed,
INV06232,PRJ02644,ONDECK PRODUCTION STAFFING,Crew,6623482,2024-08-15,Pd,
INV06829,PRJ01011,ColourGrade Lagos,Post-Production,2128828,2022-03-24,Pd,
INV05649,PRJ00744,OnDeck Production Staffing,Crew,14336873,2021-12-20,pending,
INV00295,PRJ03609,Stagehand Talent Agency,Talent,20316606,07-10-2023,OVERDUE,
INV07377,PRJ00316,OnDeck Production Staffing,Crew,2031003,2024-08-17,OVERDUE,
INV04475,PRJ00074,Reel Edit Studios,Post-Production,35967041,2022-02-09,Overdue,
INV05208,PRJ03580,Coastline Property Services,Location,8916349,19 May 2023,Pending,
INV05609,PRJ02694,Chop Life Catering,Catering,1943426,08 Jun 2022,Pd,
INV01761,PRJ01064,Chop Life Catering,Catering,7576268,03/07/2021,paid,
INV05297,PRJ01233,ProGear Nigeria,Equipment Rental,2238695,2021-10-25,Paid,
INV06099,PRJ02504,Lagos Grip & Lighting Co,Equipment Rental,34135864,17-05-2023,PAID,
