record_id,student_id,module_code,exam_sitting_date,official_exam_score,verified_by
EXB00142,14576,ME301,09/11/2021,46,Dr. Adekunle Bello
EXB01282,nli-173912,ST101,18-02-2019,47,dr. samuel okoro
EXB01737,74982,PH201,12/01/2021,,PROF. NGOZI EZE
EXB01232,NLI77180,IT401,2021-12-09,,Dr Fatima Yusuf
EXB00021,nli-156312,CS401,2019-11-10,66,Dr Fatima Yusuf
EXB02220,NLI90072,PH301,05/10/2021,89,PROF. NGOZI EZE
EXB00016,NLI89561,ST501,2021-10-23,98,prof. chika nwosu
EXB01825,NLI-107818,ME301,05/10/2019,57,Dr Fatima Yusuf
EXB01247,NLI-51449,DS201,2022-06-03,65,prof. chika nwosu
EXB00290,nli-135408,MT401,17-01-2023,87,Dr Fatima Yusuf
EXB00070,NLI-52918,EN201,10/07/2020,27,prof. chika nwosu
EXB01494,NLI-14638,MT101,07/01/2021,43,dr. samuel okoro
EXB02321,NLI83805,IT101,16/12/2023,23,prof. chika nwosu
EXB01894,NLI75482,DS401,20-09-2021,52,prof. chika nwosu
EXB01948,nli-155523,EE101,08/02/2019,46,PROF. NGOZI EZE
EXB00839,NLI-16757,EN501,24/06/2022,89,prof. chika nwosu
EXB02478,65507,DS301,16-11-2021,39,dr. samuel okoro
EXB00924,nli-16775,EN201,04/02/2024,,Dr Fatima Yusuf
EXB01327,170817,EE401,06/09/2022,67,PROF. NGOZI EZE
EXB01292,NLI15503,EE201,2019-02-22,40,prof. chika nwosu
EXB00897,NLI-149543,CS301,27/11/2019,41,PROF. NGOZI EZE
EXB02008,167460,IT201,12/06/2020,56,prof. chika nwosu
EXB01370,nli-82460,EC401,05/02/2019,57,Dr Fatima Yusuf
EXB00568,41448,CS501,24/10/2022,,dr. samuel okoro
EXB02149,NLI198215,DS501,2024-06-01,76,Dr Fatima Yusuf
EXB01218,NLI-34832,CS101,2019-01-09,35,PROF. NGOZI EZE
EXB01545,163629,MT401,07/10/2021,35,dr. samuel okoro
EXB02461,84289,ST501,01-07-2022,85,prof. chika nwosu
EXB02364,NLI-72859,EC201,16-08-2024,89,prof. chika nwosu
EXB00800,195495,EC101,2023-06-03,31,Dr Fatima Yusuf
EXB01027,NLI-80253,CS101,23/07/2019,47,dr. samuel okoro
EXB00694,nli-138018,DS201,2021-11-11,62,Dr Fatima Yusuf
EXB00853,186419,PH401,09-01-2020,97,PROF. NGOZI EZE
EXB00624,NLI-173785,EC201,2021-11-01,95,Dr. Adekunle Bello
EXB01077,88612,MT101,01/03/2024,17,prof. chika nwosu
EXB00118,NLI-95122,ME401,04/12/2023,69,Dr. Adekunle Bello
EXB00426,NLI105816,IT201,04-12-2022,77,Dr Fatima Yusuf
EXB00817,21875,DS101,08-03-2020,45,prof. chika nwosu
EXB00232,NLI-147841,DS101,2024-07-14,57,prof. chika nwosu
EXB00175,NLI194610,PH101,24/03/2020,30,dr. samuel okoro
EXB01555,76592,IT501,17/07/2023,45,dr. samuel okoro
EXB01193,NLI-80128,EC401,13/01/2020,26,PROF. NGOZI EZE
EXB01930,NLI-187685,PH201,2021-04-16,87,PROF. NGOZI EZE
EXB02279,NLI-162472,CS501,2019-05-22,27,PROF. NGOZI EZE
EXB01824,NLI-01410,EC501,04/12/2024,58,dr. samuel okoro
EXB02011,12647,EN101,19/10/2022,54,prof. chika nwosu
EXB01562,19106,ST401,05/03/2020,99,prof. chika nwosu
EXB02119,NLI20181,CS301,2023-12-19,78,prof. chika nwosu
EXB01179,72941,ST501,27/06/2023,50,dr. samuel okoro
EXB02405,NLI-10449,MT201,13/11/2021,24,dr. samuel okoro
EXB02435,NLI-57076,MT301,08/06/2019,29,Dr. Adekunle Bello
EXB00140,NLI-160600,ME401,24/05/2022,58,dr. samuel okoro
EXB00552,NLI-113527,ST201,2021-06-06,73,dr. samuel okoro
EXB00225,nli-74892,ST201,27-09-2019,97,Dr Fatima Yusuf
EXB01171,NLI-140748,MT501,2021-05-17,34,prof. chika nwosu
EXB00578,NLI-101918,ME501,2024-11-16,92,dr. samuel okoro
EXB01044,20707,EN301,2024-09-21,70,prof. chika nwosu
EXB02427,164742,DS201,11/06/2023,,Dr Fatima Yusuf
EXB01567,NLI104775,MT201,28/10/2024,73,prof. chika nwosu
EXB01979,nli-176652,MT401,14-02-2023,71,Dr. Adekunle Bello
EXB01694,23890,ST301,2022-03-18,28,Dr Fatima Yusuf
EXB01152,nli-00996,CS301,20/03/2022,61,dr. samuel okoro
EXB00936,NLI80695,ST101,22-09-2020,35,prof. chika nwosu
EXB00325,NLI-157253,DS101,2019-01-13,73,prof. chika nwosu
EXB02307,nli-142423,MT401,09/12/2021,43,dr. samuel okoro
EXB01723,NLI-45988,EN301,2020-05-02,76,dr. samuel okoro
EXB01612,NLI-02993,ME301,25-02-2020,,Dr. Adekunle Bello
EXB00710,NLI132648,EC501,13/02/2023,57,PROF. NGOZI EZE
EXB01515,150405,EE101,02-03-2021,40,PROF. NGOZI EZE
EXB02458,NLI-19930,EC201,16-09-2024,35,prof. chika nwosu
EXB00594,170791,CS201,10-08-2021,62,Dr Fatima Yusuf
EXB02494,NLI-154041,ST501,03-01-2023,99,Dr. Adekunle Bello
EXB01517,NLI-165250,ME501,2023-09-01,74,Dr. Adekunle Bello
EXB01042,114494,IT401,2021-12-10,86,Dr. Adekunle Bello
EXB00403,76722,EN401,28/11/2022,96,Dr. Adekunle Bello
EXB01451,NLI-59124,EE201,15/10/2022,42,PROF. NGOZI EZE
EXB01666,NLI-62602,EN201,2020-02-19,51,prof. chika nwosu
EXB01543,NLI142444,DS501,28/10/2022,68,Dr Fatima Yusuf
EXB00884,nli-71508,ST201,11/08/2019,95,Dr Fatima Yusuf
EXB02557,NLI-98116,ME101,28-06-2022,95,prof. chika nwosu
EXB01036,NLI-107434,PH401,2020-08-04,32,Dr Fatima Yusuf
EXB02143,48857,IT501,18-09-2020,24,dr. samuel okoro
EXB02434,NLI-158578,MT101,12-11-2024,94,prof. chika nwosu
EXB01302,NLI-179332,ST301,14-11-2023,38,PROF. NGOZI EZE
EXB01977,NLI187523,PH201,06-12-2024,58,Dr. Adekunle Bello
EXB01677,nli-152346,ME301,10/01/2023,65,PROF. NGOZI EZE
EXB00210,131765,EN201,2020-10-09,64,Dr. Adekunle Bello
EXB02489,nli-145385,DS501,14/07/2021,79,dr. samuel okoro
EXB00863,NLI-09150,EC301,2020-06-09,62,PROF. NGOZI EZE
EXB00431,NLI-54462,CS401,18/06/2020,91,Dr. Adekunle Bello
EXB00501,22264,EE401,2020-11-01,45,PROF. NGOZI EZE
EXB00731,NLI110421,EC301,05/07/2023,44,PROF. NGOZI EZE
EXB00128,NLI99537,CS301,08/04/2021,71,dr. samuel okoro
EXB00094,128927,ST201,21/01/2019,91,prof. chika nwosu
EXB00911,NLI-56424,CS101,2024-12-27,25,Dr. Adekunle Bello
EXB00919,195334,CS401,01-01-2024,,prof. chika nwosu
EXB00221,80280,CS401,2021-07-23,21,prof. chika nwosu
EXB00961,NLI-176578,PH401,08-07-2022,91,dr. samuel okoro
EXB00920,NLI-22008,EN301,03-08-2024,96,PROF. NGOZI EZE
EXB00433,NLI-95016,EN501,2021-08-19,33,Dr. Adekunle Bello
EXB02587,NLI162500,CS201,05-07-2022,78,prof. chika nwosu
EXB01040,NLI-61457,IT101,2021-06-26,,Dr Fatima Yusuf
EXB01827,NLI-160983,PH301,2019-07-03,20,prof. chika nwosu
EXB01358,nli-65468,PH101,2020-11-13,46,Dr Fatima Yusuf
EXB01328,NLI-55945,PH501,2022-08-14,56,PROF. NGOZI EZE
EXB02436,NLI-170990,EE201,2019-07-03,89,dr. samuel okoro
EXB01073,NLI-168977,MT401,2022-02-04,85,Dr. Adekunle Bello
EXB01033,NLI-190696,DS201,2019-01-23,39,Dr. Adekunle Bello
EXB00658,NLI-19339,EC501,20/01/2019,74,PROF. NGOZI EZE
EXB02270,NLI137052,IT301,24-07-2022,74,Dr Fatima Yusuf
EXB02038,nli-13867,MT401,05/05/2022,75,Dr. Adekunle Bello
EXB00488,nli-102954,IT101,04/04/2023,88,prof. chika nwosu
EXB02200,NLI82712,CS401,15-10-2019,78,dr. samuel okoro
EXB00626,166278,CS201,11/06/2019,70,prof. chika nwosu
EXB02480,99522,DS401,11/01/2020,62,Dr Fatima Yusuf
EXB02428,NLI86057,EE201,03/06/2021,35,PROF. NGOZI EZE
EXB02375,NLI-195135,CS101,07-03-2019,82,Dr Fatima Yusuf
EXB01657,NLI58851,ME101,10/08/2021,63,Dr. Adekunle Bello
EXB02284,19701,IT401,17-02-2022,,dr. samuel okoro
EXB00019,nli-166989,CS301,01-12-2023,38,Dr Fatima Yusuf
EXB02259,NLI-189816,EE301,06/01/2020,76,Dr Fatima Yusuf
EXB02032,NLI-188013,EE101,2022-03-23,34,Dr. Adekunle Bello
EXB01929,75724,MT101,2020-06-16,69,prof. chika nwosu
EXB00890,nli-104386,PH301,17/08/2022,83,Dr Fatima Yusuf
EXB00789,nli-105980,EC301,17/07/2022,94,Dr Fatima Yusuf
EXB00217,nli-44033,ME201,17/05/2023,54,Dr Fatima Yusuf
EXB01765,NLI31953,EN201,2023-01-07,21,prof. chika nwosu
EXB00627,NLI-146197,EN201,2022-09-17,100,prof. chika nwosu
EXB00864,163290,EC201,21/05/2020,35,Dr Fatima Yusuf
EXB02127,nli-192045,EE501,2024-03-07,77,Dr Fatima Yusuf
EXB00841,NLI-62211,EE501,05/03/2019,81,prof. chika nwosu
EXB00026,36090,EN301,27/03/2024,71,Dr Fatima Yusuf
EXB02345,NLI104285,EE201,28/01/2022,30,dr. samuel okoro
EXB00134,NLI-97729,IT401,2021-08-11,75,PROF. NGOZI EZE
EXB01725,NLI114214,PH501,23-06-2020,65,PROF. NGOZI EZE
EXB02585,NLI-104921,MT401,11/09/2020,85,PROF. NGOZI EZE
EXB01397,NLI-184309,ME201,27-06-2024,31,PROF. NGOZI EZE
EXB01814,NLI-48031,CS101,19/06/2023,66,dr. samuel okoro
EXB01647,193533,IT301,08/08/2019,70,dr. samuel okoro
EXB00358,NLI-35646,ST201,19/02/2022,98,dr. samuel okoro
EXB00313,NLI-118009,PH501,13-03-2021,77,dr. samuel okoro
EXB00417,161805,IT501,06/06/2023,0,Dr. Adekunle Bello
EXB01926,nli-175507,EC401,26-03-2021,73,Dr. Adekunle Bello
EXB01384,nli-180698,EC501,26/04/2019,71,PROF. NGOZI EZE
EXB00066,nli-132758,EN301,24-03-2020,,Dr Fatima Yusuf
EXB00873,NLI58775,CS301,20-11-2022,,Dr Fatima Yusuf
EXB00050,NLI-160205,EC101,26/03/2023,87,Dr. Adekunle Bello
EXB01844,NLI145639,ST401,22-12-2023,72,prof. chika nwosu
EXB01445,nli-155011,CS501,2019-10-08,34,Dr Fatima Yusuf
EXB00428,NLI-179911,CS401,2019-09-02,35,PROF. NGOZI EZE
EXB00522,NLI82291,ST101,26-08-2021,60,dr. samuel okoro
EXB01261,nli-183719,CS301,15/04/2022,97,Dr Fatima Yusuf
EXB01024,NLI-76434,ST101,02/07/2023,75,prof. chika nwosu
EXB00946,nli-78675,IT501,27-09-2023,35,PROF. NGOZI EZE
EXB01838,nli-43052,ME101,04/04/2024,67,PROF. NGOZI EZE
EXB00268,nli-65379,CS401,11/09/2021,41,Dr Fatima Yusuf
EXB02170,NLI-153362,IT301,2019-02-07,67,dr. samuel okoro
EXB00391,NLI-169955,IT401,2024-07-09,60,Dr Fatima Yusuf
EXB01634,nli-44700,DS501,03/08/2022,,prof. chika nwosu
EXB01118,NLI-38121,EE401,2024-02-16,27,PROF. NGOZI EZE
EXB02463,NLI35424,EN201,2023-05-09,88,dr. samuel okoro
EXB01869,nli-11860,ME301,03-09-2021,95,PROF. NGOZI EZE
EXB01416,NLI-18588,EE201,13/07/2019,62,PROF. NGOZI EZE
EXB00743,nli-84934,IT301,2019-12-22,,PROF. NGOZI EZE
EXB02258,NLI172939,IT201,10/01/2020,86,prof. chika nwosu
EXB01322,NLI176786,IT101,2024-04-18,74,Dr. Adekunle Bello
EXB01697,127072,EC301,16/01/2019,100,Dr Fatima Yusuf
EXB00508,nli-81029,ST301,21/05/2020,75,PROF. NGOZI EZE
EXB00218,nli-195368,ST301,18/02/2022,28,Dr Fatima Yusuf
EXB01508,175946,IT401,23/08/2024,94,Dr. Adekunle Bello
EXB01294,NLI-82271,EE101,2022-04-02,58,PROF. NGOZI EZE
EXB00659,61401,MT401,10/12/2024,44,Dr Fatima Yusuf
EXB02294,NLI101160,MT501,13/09/2024,38,PROF. NGOZI EZE
EXB01220,NLI-58900,ST501,05/02/2021,32,Dr. Adekunle Bello
EXB01396,nli-165756,EN301,16-02-2020,75,Dr Fatima Yusuf
EXB01579,156889,ME201,12-08-2022,49,Dr. Adekunle Bello
EXB00842,NLI49194,EC401,22/03/2023,88,Dr. Adekunle Bello
EXB02575,NLI-19024,IT301,2022-04-26,69,Dr. Adekunle Bello
EXB00843,nli-32130,ME201,04-01-2021,35,PROF. NGOZI EZE
EXB00458,NLI-19542,DS501,19-11-2021,42,prof. chika nwosu
EXB00755,NLI-176516,DS501,2023-02-24,26,prof. chika nwosu
EXB00007,142560,DS201,16/05/2021,-8,Dr Fatima Yusuf
EXB00041,NLI42081,IT501,21-09-2019,90,PROF. NGOZI EZE
EXB02123,90520,ST201,2021-09-23,45,Dr Fatima Yusuf
EXB01863,NLI-141251,EN101,2024-01-15,28,Dr. Adekunle Bello
EXB01998,41824,EE401,2024-07-20,23,Dr Fatima Yusuf
EXB02554,nli-84973,CS101,10-07-2022,78,dr. samuel okoro
EXB02237,NLI136883,MT501,15/07/2023,90,prof. chika nwosu
EXB01455,NLI70475,DS301,2022-02-07,57,Dr. Adekunle Bello
EXB00754,NLI-90471,EC401,01-11-2022,31,Dr Fatima Yusuf
EXB02093,NLI-08113,EN301,15/03/2020,49,Dr Fatima Yusuf
EXB01161,NLI68817,MT401,2019-07-02,26,prof. chika nwosu
EXB01670,nli-10579,MT401,2020-10-21,66,dr. samuel okoro
EXB02473,NLI129875,ME401,06-10-2022,40,dr. samuel okoro
EXB01640,197037,EN501,09/12/2022,88,PROF. NGOZI EZE
EXB01100,NLI-143863,DS401,2023-05-24,57,Dr. Adekunle Bello
EXB01098,nli-24491,MT301,17/08/2019,64,PROF. NGOZI EZE
EXB02440,NLI18622,MT301,05-03-2023,40,Dr Fatima Yusuf
EXB00753,NLI-184367,CS101,2019-07-03,41,Dr Fatima Yusuf
EXB02282,49210,EC401,03/05/2023,-20,Dr Fatima Yusuf
EXB02311,NLI-09262,EC401,26-11-2022,58,prof. chika nwosu
EXB00930,44642,ST501,25-08-2019,41,Dr. Adekunle Bello
EXB01675,NLI-197739,MT301,18/06/2020,98,Dr. Adekunle Bello
EXB00971,NLI46364,ST401,14/06/2022,37,dr. samuel okoro
EXB00390,NLI160399,CS101,2019-03-06,38,Dr Fatima Yusuf
EXB01574,NLI-141496,EN501,14/01/2020,40,dr. samuel okoro
EXB01280,NLI198734,EC401,2019-04-27,83,PROF. NGOZI EZE
EXB02269,NLI159729,MT201,2021-08-13,51,Dr Fatima Yusuf
EXB02596,nli-19935,ST301,15/06/2019,83,prof. chika nwosu
EXB00537,NLI-11930,IT101,12/03/2024,51,PROF. NGOZI EZE
EXB00564,NLI-08293,EC301,25-07-2022,56,dr. samuel okoro
EXB01069,NLI-144422,PH501,18/10/2021,63,dr. samuel okoro
EXB01133,NLI114764,MT201,25-03-2019,62,Dr Fatima Yusuf
EXB00372,02527,EN201,11/10/2024,93,prof. chika nwosu
EXB00506,44617,IT501,17/06/2022,40,PROF. NGOZI EZE
EXB00410,NLI00774,CS301,14-11-2019,50,Dr Fatima Yusuf
EXB01533,193334,CS401,26-01-2024,,Dr. Adekunle Bello
EXB02153,NLI95427,ST201,18/02/2020,68,dr. samuel okoro
EXB01343,NLI136257,MT101,18-09-2023,58,prof. chika nwosu
EXB00028,nli-177276,EC401,2019-11-26,70,dr. samuel okoro
EXB00348,NLI-53267,MT101,01/08/2024,32,dr. samuel okoro
EXB02591,nli-30336,CS301,08-05-2022,97,Dr. Adekunle Bello
EXB02406,NLI-196379,MT501,13-01-2021,51,Dr. Adekunle Bello
EXB01424,NLI-43727,CS401,01/10/2023,56,Dr. Adekunle Bello
EXB02196,nli-90895,EE401,2020-12-25,55,prof. chika nwosu
EXB01810,NLI-131136,MT101,09/08/2021,25,prof. chika nwosu
EXB01255,NLI103706,CS301,16/06/2023,48,dr. samuel okoro
EXB02174,nli-32534,EE301,2021-08-16,23,Dr Fatima Yusuf
EXB00151,NLI-187322,IT401,22/10/2020,114,Dr Fatima Yusuf
EXB01949,NLI-163409,ME301,02-11-2023,54,PROF. NGOZI EZE
EXB01462,180704,EC101,11-03-2020,32,PROF. NGOZI EZE
EXB01038,NLI-146543,CS501,2024-07-20,70,Dr Fatima Yusuf
EXB02599,11090,EN101,2022-12-25,29,Dr. Adekunle Bello
EXB01840,NLI-123192,MT301,21/09/2022,73,prof. chika nwosu
EXB00723,NLI-113185,DS301,11/02/2024,29,prof. chika nwosu
EXB00424,NLI-141632,IT101,25/05/2019,99,dr. samuel okoro
EXB00862,nli-199991,PH401,21-06-2023,94,Dr. Adekunle Bello
EXB00628,NLI-127143,PH401,09/02/2020,45,PROF. NGOZI EZE
EXB00804,NLI19450,ME301,2024-11-19,47,prof. chika nwosu
EXB01513,NLI-34304,CS501,2022-07-14,65,prof. chika nwosu
EXB02519,NLI121651,EC501,2020-06-04,38,Dr Fatima Yusuf
EXB00857,NLI-160473,IT201,04-07-2020,100,dr. samuel okoro
EXB01485,NLI-88680,EE401,04/06/2020,83,prof. chika nwosu
EXB00529,NLI-176518,DS201,11/05/2022,36,PROF. NGOZI EZE
EXB01980,NLI-173394,CS201,2023-07-11,87,prof. chika nwosu
EXB00770,33178,ME201,10-01-2019,33,Dr Fatima Yusuf
EXB02110,nli-124462,IT301,16/10/2024,,dr. samuel okoro
EXB02338,172612,ME201,13/08/2021,41,Dr Fatima Yusuf
EXB01482,NLI105115,CS201,2024-05-03,78,prof. chika nwosu
EXB02500,NLI190811,IT401,17/03/2021,44,Dr. Adekunle Bello
EXB00868,NLI-87555,ST201,19/05/2019,32,prof. chika nwosu
EXB00122,NLI-199886,EE501,23-09-2024,80,Dr Fatima Yusuf
EXB02058,nli-24465,DS301,24/10/2020,55,PROF. NGOZI EZE
EXB01966,nli-38333,IT301,2024-06-15,76,PROF. NGOZI EZE
EXB02028,NLI93006,CS301,01-02-2019,99,dr. samuel okoro
EXB00494,NLI00095,DS201,28-12-2019,21,dr. samuel okoro
EXB01756,NLI09435,EC201,2022-12-08,116,prof. chika nwosu
EXB00113,122189,ST501,26/07/2024,26,Dr Fatima Yusuf
EXB00469,NLI-22027,DS401,2022-06-03,73,prof. chika nwosu
EXB01072,nli-119566,ST301,07/07/2019,90,Dr Fatima Yusuf
EXB02211,04706,ST501,2023-01-17,65,PROF. NGOZI EZE
EXB01632,160036,IT101,06/12/2023,76,prof. chika nwosu
EXB01720,NLI-05026,ME101,2021-06-16,61,dr. samuel okoro
EXB01680,NLI89387,DS201,22-09-2022,30,Dr. Adekunle Bello
EXB00035,nli-188569,EE201,2021-08-09,90,Dr. Adekunle Bello
EXB00749,NLI149088,DS101,27/06/2022,98,dr. samuel okoro
EXB02572,nli-31085,ST501,07/05/2023,28,prof. chika nwosu
EXB00097,59439,EE401,22/05/2022,30,PROF. NGOZI EZE
EXB00024,nli-16479,IT201,02/02/2023,76,dr. samuel okoro
EXB01250,NLI74151,ME301,19-01-2019,85,dr. samuel okoro
EXB00958,02835,CS401,2023-07-22,96,Dr Fatima Yusuf
EXB00165,NLI152502,ME201,18/10/2023,45,dr. samuel okoro
EXB01157,NLI177166,IT501,04-07-2024,91,Dr Fatima Yusuf
EXB00887,NLI-77812,ST401,2023-06-07,75,PROF. NGOZI EZE
EXB01426,132024,EC401,13/04/2024,83,Dr. Adekunle Bello
EXB00382,nli-98585,ME201,09-05-2022,100,dr. samuel okoro
EXB00869,63840,CS401,2023-02-08,48,PROF. NGOZI EZE
EXB00990,NLI-119479,DS201,20/05/2019,38,Dr Fatima Yusuf
EXB01718,nli-133667,ST501,05-01-2021,92,prof. chika nwosu
